unique_id,team_name,position,value,pred_Naive,pred_LGBMRegressor_no_exog,pred_LGBMRegressor_with_exog,pred_LSTMWithReLU,pred_season,picked_Naive,captain_Naive,first_xi_Naive,season,picked_time,picked_LGBMRegressor_no_exog,captain_LGBMRegressor_no_exog,first_xi_LGBMRegressor_no_exog,picked_LGBMRegressor_with_exog,captain_LGBMRegressor_with_exog,first_xi_LGBMRegressor_with_exog,picked_LSTMWithReLU,captain_LSTMWithReLU,first_xi_LSTMWithReLU
Bukayo Saka,Arsenal,MID,100.0,12.0,5.06621855309303,5.2770060434592425,6.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Danny Welbeck,Brighton,FWD,55.0,12.0,3.1366670008206268,3.8092696460695663,2.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Joelinton Cássio Apolinário de Lira,Newcastle,MID,60.0,11.0,2.8156866983648725,2.4274256616821406,1.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Joël Veltman,Brighton,DEF,45.0,8.0,2.756240605508238,2.418931628004218,1.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Kai Havertz,Arsenal,FWD,80.0,12.0,4.2275239811121965,4.040484663499269,3.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Mateo Kovačić,Manchester City,MID,55.0,11.0,2.636355889268281,3.009642429715239,1.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Mohamed Salah,Liverpool,MID,125.0,14.0,5.638285088900887,5.549852331906403,5.0,25.0,1.0,1,1.0,25,2024-08-20 11:55:08.797901,1.0,0,1.0,0.0,0,,0.0,0,
Nick Pope,Newcastle,GK,50.0,9.0,2.860730082186181,3.193837626906074,0.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Pedro Porro,Tottenham,DEF,55.0,9.0,3.7937387555217064,2.7226974817362297,2.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,1.0,0,0.0,0.0,0,,0.0,0,
Trent Alexander-Arnold,Liverpool,DEF,70.0,8.0,3.1461039740327847,3.4149989772565874,1.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Yoane Wissa,Brentford,FWD,60.0,11.0,2.2998600812831986,2.1380317457991223,2.0,25.0,1.0,0,1.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Amadou Onana,Aston Villa,MID,50.0,10.0,1.4916630094461916,2.31393296676467,10.0,25.0,1.0,0,0.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,1.0,1,1.0
David Raya Martin,Arsenal,GK,55.0,8.0,4.372948143275178,4.169558892935978,2.0,25.0,1.0,0,0.0,25,2024-08-20 11:55:08.797901,1.0,0,1.0,0.0,0,,0.0,0,
Diogo Dalot Teixeira,Manchester Utd,DEF,50.0,7.0,3.3186211229976026,3.4865463442355695,1.0,25.0,1.0,0,0.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Noussair Mazraoui,Manchester Utd,DEF,45.0,8.0,1.6984321616607592,2.514699709595024,8.0,25.0,1.0,0,0.0,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,1.0,0,1.0
Aaron Cresswell,West Ham,DEF,40.0,0.0,0.8612680030730568,0.877776387686255,0.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Aaron Hickey,Brentford,DEF,45.0,0.0,0.6271072975011903,0.5473177860010876,0.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Aaron Ramsdale,Arsenal,GK,45.0,0.0,0.50230277182637,0.7145923970701348,0.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Aaron Wan-Bissaka,West Ham,DEF,45.0,0.0,0.16407901981211365,0.596033323693982,0.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Abdoulaye Doucouré,Everton,MID,55.0,2.0,3.2867205258247187,3.223162534291371,2.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
Abdul Fatawu,Leicester,MID,55.0,8.0,1.6984321616607592,2.342632666638658,8.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,1.0,0,1.0
Adam Armstrong,Southampton,FWD,55.0,2.0,0.6301262676245016,1.8243638837224911,2.0,25.0,0.0,0,,25,2024-08-20 11:55:08.797901,0.0,0,,0.0,0,,0.0,0,
