name,opponent_team_name,is_home,season,gameweek,team_name,position,y,y_Naive,y_LGBMRegressor_no_exog,y_LGBMRegressor_with_exog,y_LSTMWithReLU
David Raya Martin,Manchester Utd,True,24,4,Arsenal,GK,0.0,,,,
Declan Rice,Manchester Utd,True,24,4,Arsenal,MID,10.0,,,,
Eddie Nketiah,Manchester Utd,True,24,4,Arsenal,FWD,2.0,,,,
Fábio Ferreira Vieira,Manchester Utd,True,24,4,Arsenal,MID,4.0,,,,
Gabriel Fernando de Jesus,Manchester Utd,True,24,4,Arsenal,FWD,6.0,,,,
Gabriel Martinelli Silva,Manchester Utd,True,24,4,Arsenal,MID,5.0,,,,
Gabriel dos Santos Magalhães,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Manchester Utd,True,24,4,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Manchester Utd,True,24,4,Arsenal,MID,1.0,,,,
Jurriën Timber,Manchester Utd,True,24,4,Arsenal,DEF,0.0,,,,
Kai Havertz,Manchester Utd,True,24,4,Arsenal,MID,2.0,,,,
Karl Hein,Manchester Utd,True,24,4,Arsenal,GK,0.0,,,,
Kieran Tierney,Manchester Utd,True,24,4,Arsenal,DEF,0.0,,,,
Leandro Trossard,Manchester Utd,True,24,4,Arsenal,MID,0.0,,,,
Martin Ødegaard,Manchester Utd,True,24,4,Arsenal,MID,7.0,,,,
Oleksandr Zinchenko,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
Reiss Nelson,Manchester Utd,True,24,4,Arsenal,MID,1.0,,,,
Thomas Partey,Manchester Utd,True,24,4,Arsenal,MID,0.0,,,,
William Saliba,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
Aaron Ramsdale,Everton,False,24,5,Arsenal,GK,0.0,,,,
Benjamin White,Everton,False,24,5,Arsenal,DEF,7.0,,,,
Bukayo Saka,Everton,False,24,5,Arsenal,MID,6.0,,,,
David Raya Martin,Everton,False,24,5,Arsenal,GK,8.0,,,,
Declan Rice,Everton,False,24,5,Arsenal,MID,3.0,,,,
Eddie Nketiah,Everton,False,24,5,Arsenal,FWD,2.0,,,,
Fábio Ferreira Vieira,Everton,False,24,5,Arsenal,MID,3.0,,,,
Gabriel Fernando de Jesus,Everton,False,24,5,Arsenal,FWD,1.0,,,,
Gabriel Martinelli Silva,Everton,False,24,5,Arsenal,MID,1.0,,,,
Gabriel dos Santos Magalhães,Everton,False,24,5,Arsenal,DEF,5.0,,,,
Jakub Kiwior,Everton,False,24,5,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Everton,False,24,5,Arsenal,MID,0.0,,,,
Jurriën Timber,Everton,False,24,5,Arsenal,DEF,0.0,,,,
Kai Havertz,Everton,False,24,5,Arsenal,MID,1.0,,,,
Karl Hein,Everton,False,24,5,Arsenal,GK,0.0,,,,
Kieran Tierney,Everton,False,24,5,Arsenal,DEF,0.0,,,,
Leandro Trossard,Everton,False,24,5,Arsenal,MID,11.0,,,,
Martin Ødegaard,Everton,False,24,5,Arsenal,MID,3.0,,,,
Oleksandr Zinchenko,Everton,False,24,5,Arsenal,DEF,7.0,,,,
Reiss Nelson,Everton,False,24,5,Arsenal,MID,0.0,,,,
Thomas Partey,Everton,False,24,5,Arsenal,MID,0.0,,,,
William Saliba,Everton,False,24,5,Arsenal,DEF,6.0,,,,
Aaron Ramsdale,Tottenham,True,24,6,Arsenal,GK,0.0,,,,
Benjamin White,Tottenham,True,24,6,Arsenal,DEF,4.0,,,,
Bukayo Saka,Tottenham,True,24,6,Arsenal,MID,13.0,,,,
David Raya Martin,Tottenham,True,24,6,Arsenal,GK,2.0,,,,
Declan Rice,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Eddie Nketiah,Tottenham,True,24,6,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Gabriel Fernando de Jesus,Tottenham,True,24,6,Arsenal,FWD,2.0,,,,
